agency_name,city,state,agency_type,agency_latitude,agency_longitude,ft_sworn,agency_population,validated_week_name,record_month,validated_day,record_year
Hillsborough County Sheriffs Department District 4 - Sun City Security Patrol,Sun City Center,FL,Sheriff'S Office,27.71577,-82.352356,-999,-999,Monday,August,6,2018
Flagler Sheriffs Department- Hammock Substation,Palm Coast,FL,Sheriff'S Office,29.617266,-81.19492,-999,-999,Tuesday,July,31,2018
Broward County Sheriffs Office - Lauderdale By The Sea,Lauderdale By The Sea,FL,Sheriff'S Office,26.192616,-80.09684,-999,-999,Monday,July,30,2018
Orlando International Airport Police,Orlando,FL,Local Police Department,28.43117,-81.30819,-999,-999,Wednesday,August,1,2018
Monroe County Sheriffs Department - Freeman Substation,Summerland Key,FL,Sheriff'S Office,24.664413,-81.506165,-999,-999,Wednesday,August,1,2018
Miami Police Department - North Substation,Miami,FL,Local Police Department,25.831833,-80.21314,-999,-999,Wednesday,August,1,2018
Clay County Sheriffs Office - Keystone Heights Operations Center,Keystone Heights,FL,Sheriff'S Office,29.780905,-82.03036,-999,-999,Monday,July,30,2018
Collier County Sheriffs Office - District 4 - Golden Gate Estates Substation,Naples,FL,Sheriff'S Office,26.293077,-81.58386,-999,-999,Monday,July,30,2018
Plantation Police Department - Outreach Center,Plantation,FL,Local Police Department,26.119436,-80.254944,-999,-999,Monday,July,30,2018
Alachua County Sheriffs Office - Civil Bureau,Gainesville,FL,Sheriff'S Office,29.651432,-82.32424,-999,-999,Thursday,July,26,2018
Columbia County Sheriff Headquarters,Lake City,FL,Sheriff'S Office,30.190378,-82.55753,-999,-999,Monday,July,30,2018
Walton County Sheriffs Department - Paxton Substation,Paxton,FL,Sheriff'S Office,30.968472,-86.3021,-999,-999,Monday,August,6,2018
Ocklawaha Sheriffs Department - Ocklawaha District,Ocklawaha,FL,Sheriff'S Office,29.042736,-81.921326,-999,-999,Wednesday,August,1,2018
Marion County Sheriffs Department - Northeast District Office,Salt Springs,FL,Sheriff'S Office,29.36446,-81.739746,-999,-999,Wednesday,August,1,2018
Hillsborough County Sheriffs Department - Operations Center,Tampa,FL,Sheriff'S Office,27.96157,-82.43597,-999,-999,Monday,August,6,2018
Collier County Sheriffs Office - Special Operations Center - Aviation,Naples,FL,Sheriff'S Office,26.158129,-81.77834,-999,-999,Monday,July,30,2018
Citrus County Civil Air Patrol,Inverness,FL,Local Police Department,28.80975,-82.31447,-999,-999,Monday,July,30,2018
Hernando County Sheriffs Office - Spring Hill Substation,Spring Hill,FL,Sheriff'S Office,28.49139,-82.5927,-999,-999,Tuesday,July,31,2018
Hernando County Sheriffs Office - Hernando Beach Substation,Spring Hill,FL,Sheriff'S Office,28.489655,-82.650604,-999,-999,Tuesday,July,31,2018
Sheriffs Office-Crime Prevention,Naples,FL,Sheriff'S Office,26.163412,-81.775116,-999,-999,Monday,July,30,2018
Walton County Sheriffs Department - Freeport Substation,Freeport,FL,Sheriff'S Office,30.491991,-86.137695,-999,-999,Monday,August,6,2018
Volusia County Sheriffs Department - Civil Division,Daytona Beach,FL,Sheriff'S Office,29.21545,-81.02165,-999,-999,Monday,August,6,2018
Volusia County Sheriffs Department - Communications,Daytona Beach,FL,Sheriff'S Office,29.14645,-81.14888,-999,-999,Monday,August,6,2018
Volusia County Sheriffs Department - Aviation,De Land,FL,Sheriff'S Office,29.060194,-81.286194,-999,-999,Friday,August,3,2018
Tampa Police Department - District 1,Tampa,FL,Local Police Department,27.973207,-82.507484,-999,-999,Wednesday,August,1,2018
Flagler Sheriffs Department - Palm Coast Substation,Palm Coast,FL,Sheriff'S Office,29.548832,-81.22731,-999,-999,Tuesday,July,31,2018
Seminole County Sheriffs Office North Region - Lake Mary Office,Lake Mary,FL,Sheriff'S Office,28.764956,-81.350044,-999,-999,Friday,August,3,2018
Tampa Police Department District 3,Tampa,FL,Local Police Department,27.979082,-82.435326,-999,-999,Wednesday,August,1,2018
Hillsborough County Sheriffs Department District 3 - Headquarters,Tampa,FL,Sheriff'S Office,28.070566,-82.57081,-999,-999,Monday,August,6,2018
Hillsborough County Sheriffs Department District 2,Tampa,FL,Sheriff'S Office,27.96455,-82.33794,-999,-999,Monday,August,6,2018
Sarasota County Sheriffs Office District 3 - South,Venice,FL,Sheriff'S Office,27.044067,-82.4012,-999,-999,Friday,August,3,2018
Pinellas County Sheriff - North District Station,Dunedin,FL,Sheriff'S Office,28.01167,-82.7844,-999,-999,Thursday,August,2,2018
Gulf County Sheriffs Office - Substation,Wewahitchka,FL,Sheriff'S Office,30.115734,-85.19909,-999,-999,Tuesday,July,31,2018
Orlando Police Department - Southeast,Orlando,FL,Local Police Department,28.499483,-81.299255,-999,-999,Wednesday,August,1,2018
Marion County Sheriffs Department - Forest District,Silver Springs,FL,Sheriff'S Office,29.180819,-81.88818,-999,-999,Wednesday,August,1,2018
Seminole County Sheriffs Office East Region Office,Oviedo,FL,Sheriff'S Office,28.670027,-81.18854,-999,-999,Friday,August,3,2018
Sarasota Sheriffs Office District 1 - North,Sarasota,FL,Sheriff'S Office,27.335943,-82.52863,-999,-999,Friday,August,3,2018
Florida Department Of Juvenile Justice Central Region - Desoto Juvenile Corrections Facility,Arcadia,FL,Primary State Agency,27.134695,-81.79969,-999,-999,Monday,July,30,2018
Miami-Dade County Police Department - Court Liaison,Miami,FL,Local Police Department,25.785852,-80.21684,-999,-999,Wednesday,August,1,2018
Volusia Sheriffs Department - Operations And Investigative Services,Daytona Beach,FL,Sheriff'S Office,29.14301,-81.14574,-999,-999,Monday,August,6,2018
Florida Highway Patrol Troop E - Miami,Miami,FL,Primary State Agency,25.78145,-80.37416,-999,-999,Wednesday,August,1,2018
Miami-Dade County Police Department - Cutler Ridge Station,Miami,FL,Local Police Department,25.57103,-80.366585,-999,-999,Wednesday,August,1,2018
Volusia County Sheriff - Civil Division,New Smyrna Beach,FL,Sheriff'S Office,29.025763,-80.9213,-999,-999,Friday,August,3,2018
Miami-Dade County Police Department - Domestic Crime Bureau,Miami,FL,Local Police Department,25.782946,-80.32452,-999,-999,Wednesday,August,1,2018
Hillsborough Sheriffs Department- West Central Substation,Tampa,FL,Sheriff'S Office,28.087236,-82.46231,-999,-999,Monday,August,6,2018
Miami-Dade County Police Department - Northside Station,Miami,FL,Local Police Department,25.849272,-80.24524,-999,-999,Wednesday,August,1,2018
Miami Police Department - Internal Affairs,Miami,FL,Local Police Department,25.809978,-80.21836,-999,-999,Wednesday,August,1,2018
Broward County Sheriffs Office - Weston,Weston,FL,Sheriff'S Office,26.09329,-80.38117,-999,-999,Monday,July,30,2018
Lee County Jail,Fort Myers,FL,Local Police Department,26.641424,-81.8705,-999,-999,Wednesday,August,1,2018
Miami Springs Police Department - Community Policing,Miami Springs,FL,Local Police Department,25.820744,-80.28531,-999,-999,Wednesday,August,1,2018
Miami-Dade County Police Department - Intracoastal Station,Miami,FL,Local Police Department,25.92,-80.155,-999,-999,Wednesday,August,1,2018
Miami-Dade County Police Department - Sheriff And Port Services Bureau,Miami,FL,Sheriff'S Office,25.77376,-80.19669,-999,-999,Wednesday,August,1,2018
Miami-Dade County Police Department - Police Operations Bureau,Miami,FL,Local Police Department,25.809402,-80.199104,-999,-999,Wednesday,August,1,2018
Miami-Dade County Police Department - Property And Evidence Bureau,Miami,FL,Local Police Department,25.800192,-80.344185,-999,-999,Wednesday,August,1,2018
Miami-Dade County Police Department - Kendall Station,Miami,FL,Local Police Department,25.696142,-80.3811,-999,-999,Wednesday,August,1,2018
Miami-Dade County Police Department - Hammocks Station,Miami,FL,Local Police Department,25.674631,-80.422966,-999,-999,Wednesday,August,1,2018
Palm Beach County Sheriffs Office - Airport,West Palm Beach,FL,Sheriff'S Office,26.688515,-80.090225,-999,-999,Thursday,August,2,2018
Sumter County Sheriffs Department - Substation,Lady Lake,FL,Sheriff'S Office,28.919558,-81.97019,-999,-999,Friday,August,3,2018
Palm Beach County Sheriffs Office - South Bay Substation,South Bay,FL,Sheriff'S Office,26.661293,-80.71343,-999,-999,Thursday,August,2,2018
Palm Beach County Sheriffs Office - Pine Trail Satellite,West Palm Beach,FL,Sheriff'S Office,26.704256,-80.112175,-999,-999,Thursday,August,2,2018
Collier County Sheriffs Office - District 2 - Golden Gate Substation,Naples,FL,Sheriff'S Office,26.183125,-81.70358,-999,-999,Monday,July,30,2018
Volusia County Sheriffs Department Law Enforcement Services Division - District 2,De Land,FL,Sheriff'S Office,28.998411,-81.30474,-999,-999,Monday,August,6,2018
Seminole County Sheriffs Office South Region - Altamonte Springs Office,Altamonte Springs,FL,Sheriff'S Office,28.679647,-81.38988,-999,-999,Friday,August,3,2018
Broward County Sheriffs Office - Pompano Beach,Pompano Beach,FL,Sheriff'S Office,26.225822,-80.12538,-999,-999,Monday,July,30,2018
Escambia County Sheriffs Office Pensacola Beach 1St Precinct,Pensacola Beach,FL,Sheriff'S Office,30.331247,-87.14338,-999,-999,Tuesday,July,31,2018
Columbia County Sheriff - Civil Division,Lake City,FL,Sheriff'S Office,30.190536,-82.63587,-999,-999,Monday,July,30,2018
Columbia County Sheriffs Office / Columbia County Jail,Lake City,FL,Sheriff'S Office,30.220898,-82.643524,-999,-999,Monday,July,30,2018
Marion County Sheriffs Department-South Central District,Ocala,FL,Sheriff'S Office,29.105375,-82.09115,-999,-999,Wednesday,August,1,2018
Hillsborough County Sheriffs Department - Hillsborough County Detention,Tampa,FL,Sheriff'S Office,27.95878,-82.3713,-999,-999,Monday,August,6,2018
Alachua County Sheriffs Department / Alachua County Jail,Gainesville,FL,Sheriff'S Office,29.677826,-82.27963,-999,-999,Thursday,July,26,2018
Everglades Police Department - Substation,Everglades City,FL,Local Police Department,25.909807,-81.3639,-999,-999,Monday,July,30,2018
Polk County Sheriffs Office - Polk City,Polk City,FL,Sheriff'S Office,28.182713,-81.82285,-999,-999,Friday,August,3,2018
Broward County Sheriffs Office - Dania Beach,Dania Beach,FL,Sheriff'S Office,26.051876,-80.14519,-999,-999,Monday,July,30,2018
Manatee County Sheriffs Office - Anna Maria,Anna Maria,FL,Sheriff'S Office,27.527134,-82.73616,-999,-999,Wednesday,August,1,2018
Hillsborough County Sheriff - 13 Judicial Circuit Court,Tampa,FL,Sheriff'S Office,27.951004,-82.45419,-999,-999,Monday,August,6,2018
Polk County Sheriffs Office - Northwest District,Lakeland,FL,Sheriff'S Office,28.097233,-81.97108,-999,-999,Friday,August,3,2018
Collier County Sheriffs Office - District 6 - Marco Island Substation,Marco Island,FL,Sheriff'S Office,25.960453,-81.72341,-999,-999,Monday,July,30,2018
Polk County Sheriffs Office - Southwest District,Lakeland,FL,Sheriff'S Office,27.991232,-81.894455,-999,-999,Friday,August,3,2018
Palm Beach County Sheriffs Office - Royal Palm Beach,Royal Palm Beach,FL,Sheriff'S Office,26.705572,-80.22718,-999,-999,Thursday,August,2,2018
Palm Beach County Sheriffs Office - Stockade,West Palm Beach,FL,Sheriff'S Office,26.686232,-80.192894,-999,-999,Thursday,August,2,2018
Broward County Sheriffs Office - Cooper City,Hollywood,FL,Sheriff'S Office,26.043823,-80.287125,-999,-999,Monday,July,30,2018
Hendry County Sheriffs Office - Substation,Clewiston,FL,Sheriff'S Office,26.748575,-80.93383,-999,-999,Tuesday,July,31,2018
Broward County Sheriffs Office - Lauderdale Lakes,Fort Lauderdale,FL,Sheriff'S Office,26.170069,-80.20719,-999,-999,Monday,July,30,2018
Collier County Sheriffs Office - District 8 - Immokalee Substation,Immokalee,FL,Sheriff'S Office,26.417055,-81.41678,-999,-999,Monday,July,30,2018
Polk County Sheriffs Office - Central District,Winter Haven,FL,Sheriff'S Office,28.029997,-81.77143,-999,-999,Friday,August,3,2018
Palm Beach County Sheriffs Office - Mangonia Park,Mangonia Park,FL,Sheriff'S Office,26.75549,-80.082,-999,-999,Thursday,August,2,2018
Hillsborough County Sheriffs Department - Work Release Center,Tampa,FL,Sheriff'S Office,27.960094,-82.37374,-999,-999,Monday,August,6,2018
Madison County Sheriffs Office / Madison County Jail,Madison,FL,Sheriff'S Office,30.467987,-83.42216,-999,-999,Wednesday,August,1,2018
Monroe County Sheriffs Office - Marathon Substation,Marathon,FL,Sheriff'S Office,24.710371,-81.09625,-999,-999,Wednesday,August,1,2018
Martin County Sheriffs Department - Indiantown Substation,Indiantown,FL,Sheriff'S Office,27.028522,-80.47941,-999,-999,Wednesday,August,1,2018
Collier County Sheriffs Office - District 3 - East Naples Substation,Naples,FL,Sheriff'S Office,26.090754,-81.73215,-999,-999,Monday,July,30,2018
Collier County Sheriffs Office - District 1 - North Naples Substation,Naples,FL,Sheriff'S Office,26.250677,-81.8059,-999,-999,Monday,July,30,2018
Broward County Sheriffs Office - Tamarac,Tamarac,FL,Sheriff'S Office,26.213095,-80.271935,-999,-999,Monday,July,30,2018
Broward County Sheriffs Office - Oakland Park,Oakland Park,FL,Sheriff'S Office,26.194372,-80.13301,-999,-999,Monday,July,30,2018
Palm Beach County Sheriffs Office - Wellington,West Palm Beach,FL,Sheriff'S Office,26.672703,-80.24611,-999,-999,Thursday,August,2,2018
Florida Highway Patrol Troop K - Miami,Miami,FL,Primary State Agency,25.663738,-80.38746,-999,-999,Wednesday,August,1,2018
Florida Highway Patrol Troop G - Saint Augustine,Saint Augustine,FL,Primary State Agency,29.915707,-81.36015,-999,-999,Friday,August,3,2018
Florida Highway Patrol Troop G - Starke,Starke,FL,Primary State Agency,29.968344,-82.10219,-999,-999,Monday,July,30,2018
Florida Highway Patrol Troop H - Leon,Tallahassee,FL,Primary State Agency,30.454596,-84.24545,-999,-999,Wednesday,August,1,2018
Florida Highway Patrol Troop D - Cocoa,Cocoa,FL,Primary State Agency,28.35708,-80.78257,-999,-999,Monday,July,30,2018
Florida Highway Patrol Troop F - Arcadia,Arcadia,FL,Primary State Agency,27.227053,-81.85457,-999,-999,Monday,July,30,2018
Florida Highway Patrol Troop L - Davie,Davie,FL,Primary State Agency,26.119884,-80.33626,-999,-999,Monday,July,30,2018
Florida Highway Patrol Troop B - Lake City,Lake City,FL,Primary State Agency,30.183569,-82.655235,-999,-999,Monday,July,30,2018
Lee County Sheriffs Department - Bonita Springs District,Bonita Springs,FL,Sheriff'S Office,26.340105,-81.7783,-999,-999,Wednesday,August,1,2018
Florida Highway Patrol Troop F - Venice,Venice,FL,Primary State Agency,27.049261,-82.39948,-999,-999,Friday,August,3,2018
Florida Highway Patrol Troop C - Lakeland,Lakeland,FL,Primary State Agency,28.083376,-81.952774,-999,-999,Friday,August,3,2018
Florida Highway Patrol Troop L - Fort Pierce,Fort Pierce,FL,Primary State Agency,27.48709,-80.35081,-999,-999,Friday,August,3,2018
Florida Highway Patrol Troop E - Marianna,Marianna,FL,Primary State Agency,30.783743,-85.295395,-999,-999,Wednesday,August,1,2018
Florida Highway Patrol Troop F - Fort Myers,Fort Myers,FL,Primary State Agency,26.591005,-81.86299,-999,-999,Wednesday,August,1,2018
Florida Highway Patrol Troop E - Marathon,Marathon,FL,Primary State Agency,24.711634,-81.0941,-999,-999,Wednesday,August,1,2018
Hernando County Sheriffs Office - Eastside Substation,Dade City,FL,Sheriff'S Office,28.50711,-82.17923,-999,-999,Tuesday,July,31,2018
Clearwater Police Department - District 1 Substation,Clearwater,FL,Local Police Department,27.967285,-82.823555,-999,-999,Thursday,August,2,2018
Clearwater Police Department - District Iii Substation,Clearwater,FL,Local Police Department,28.025467,-82.70803,-999,-999,Thursday,August,2,2018
District 1 Broward County Sheriffs Office - Pembroke Park / West Park,Hollywood,FL,Sheriff'S Office,25.985455,-80.17583,-999,-999,Monday,July,30,2018
Escambia County Sheriffs Office Cantonment - Molino 5Th Precinct,Molino,FL,Sheriff'S Office,30.706356,-87.349434,-999,-999,Tuesday,July,31,2018
Broward County Sheriffs Office - Fort Lauderdale International Airport,Fort Lauderdale,FL,Sheriff'S Office,26.073135,-80.14651,-999,-999,Monday,July,30,2018
Miami-Dade Police Department / Northwest District,Hialeah,FL,Local Police Department,25.910112,-80.29824,-999,-999,Wednesday,August,1,2018
Escambia County Sheriffs Office - Big Lagoon 2Nd Precinct,Pensacola,FL,Sheriff'S Office,30.319977,-87.416664,-999,-999,Tuesday,July,31,2018
Escambia County Sheriffs Office - Brownsville Precinct,Pensacola,FL,Sheriff'S Office,30.420935,-87.25001,-999,-999,Tuesday,July,31,2018
Escambia County Sheriffs Office - Century 6Th Precinct,Century,FL,Sheriff'S Office,30.970438,-87.26607,-999,-999,Tuesday,July,31,2018
Escambia County Sheriffs Office - South Pensacola 3Rd Precinct,Pensacola,FL,Sheriff'S Office,30.391172,-87.26725,-999,-999,Tuesday,July,31,2018
Florida Department Of Environmental Protection - Division Of Law Enforcement Bureau Of Environmental Investigations,Orlando,FL,Primary State Agency,28.558838,-81.34108,-999,-999,Wednesday,August,1,2018
Florida Highway Patrol Troop C - Land O'Lakes,Land O' Lakes,FL,Primary State Agency,28.45114,-82.45059,-999,-999,Monday,August,6,2018
Pasco County Sheriffs Department / Pasco County Jail,Land O' Lakes,FL,Sheriff'S Office,28.30755,-82.48367,-999,-999,Thursday,August,2,2018
Colorado Division Of Gaming,Lakewood,CO,Primary State Agency,39.745884,-105.07279,-999,-999,Wednesday,July,25,2018
Denver Sheriffs Department,Denver,CO,Sheriff'S Office,39.739254,-104.99117,-999,-999,Tuesday,July,24,2018
Boulder County Sheriffs Office - Niwot Substation,Niwot,CO,Sheriff'S Office,40.101288,-105.15437,-999,-999,Wednesday,July,25,2018
Colorado State Patrol - District 3 Headquarters Troop 3A,Evans,CO,Primary State Agency,40.37391,-104.68465,-999,-999,Tuesday,July,24,2018
Prowers County Sheriff - Holly Substation,Holly,CO,Sheriff'S Office,38.05043,-102.123276,-999,-999,Wednesday,July,25,2018
Weld County Sheriffs Office District 2,Longmont,CO,Sheriff'S Office,40.169598,-104.97568,-999,-999,Wednesday,July,25,2018
Southern Ute Wildlife Conservation Department,Ignacio,CO,Local Police Department,37.13353,-107.63287,-999,-999,Wednesday,July,25,2018
Colorado Springs Police Department - Gold Hill Division,Colorado Springs,CO,Local Police Department,38.823956,-104.84424,-999,-999,Tuesday,July,24,2018
University Of Colorado At Denver Health Sciences Center Police Department,Denver,CO,Special Jurisdiction,39.730476,-104.93726,-999,-999,Tuesday,July,24,2018
Denver International Airport Police Substation,Denver,CO,Local Police Department,39.84953,-104.673775,-999,-999,Tuesday,July,24,2018
Denver Police Department - District 4 Substation,Denver,CO,Local Police Department,39.678215,-105.01975,-999,-999,Tuesday,July,24,2018
Denver Police Department - District 5 Substation,Denver,CO,Local Police Department,39.781193,-104.84861,-999,-999,Tuesday,July,24,2018
Larimer County Sheriffs Office - Estes Park Substation,Estes Park,CO,Sheriff'S Office,40.367943,-105.496376,-999,-999,Tuesday,July,24,2018
Denver Police Department - District 1 Substation,Denver,CO,Local Police Department,39.780594,-105.00281,-999,-999,Tuesday,July,24,2018
Colorado Springs Airport Police Department,Colorado Springs,CO,Local Police Department,38.797413,-104.7009,-999,-999,Tuesday,July,24,2018
Denver Police Department - District 3 Substation,Denver,CO,Local Police Department,39.68689,-104.96002,-999,-999,Tuesday,July,24,2018
Denver Police Department - District 3 Substation,Denver,CO,Local Police Department,39.77102,-104.9229,-999,-999,Tuesday,July,24,2018
Union Pacific Railroad Police Department,Denver,CO,Local Police Department,39.790108,-105.00358,-999,-999,Tuesday,July,24,2018
Douglas County Sheriffs Office - Substation,Lone Tree,CO,Sheriff'S Office,39.537003,-104.88081,-999,-999,Wednesday,July,25,2018
Boulder County Sheriffs Office - Superior Substation,Superior,CO,Sheriff'S Office,39.928112,-105.160805,-999,-999,Wednesday,July,25,2018
Cedaredge Marshals Office,Cedaredge,CO,Constable/Marshal,38.901516,-107.92516,-999,-999,Tuesday,July,24,2018
Boulder Police Department - College Avenue Station,Boulder,CO,Special Jurisdiction,40.00713,-105.27527,-999,-999,Wednesday,July,25,2018
Darton College Campus Police Department,Albany,GA,Special Jurisdiction,31.58255,-84.2095,-999,-999,Thursday,August,9,2018
Baldwin County Sheriffs Office,Milledgeville,GA,Sheriff'S Office,33.081364,-83.22848,-999,-999,Tuesday,August,7,2018
Clark Atlanta University Department Of Public Safety,Atlanta,GA,Special Jurisdiction,33.748726,-84.41134,-999,-999,Friday,August,10,2018
Georgia Department Of Natural Resources Law Enforcement - Picketts Mill Battlefield Historic Site,Dallas,GA,Primary State Agency,33.97398,-84.7591,-999,-999,Tuesday,August,14,2018
Dekalb County Police Department - Tucker Precinct,Tucker,GA,Local Police Department,33.85761,-84.20413,-999,-999,Thursday,August,9,2018
Clayton County Sheriffs Department / Clayton County Jail,Jonesboro,GA,Sheriff'S Office,33.50654,-84.35755,-999,-999,Wednesday,August,8,2018
Floyd County Sheriffs Office,Rome,GA,Sheriff'S Office,34.25552,-85.17193,-999,-999,Thursday,August,9,2018
Cherokee County Sheriffs Department - Freehome Precinct,Canton,GA,Sheriff'S Office,34.23655,-84.289246,-999,-999,Wednesday,August,8,2018
Louisiana State Police Troop E - Alexandria,Alexandria,LA,Primary State Agency,31.317335,-92.46862,-999,-999,Thursday,February,14,2019
Marsh Creek Detention Facility,Clayton,CA,Local Police Department,37.894543,-121.86511,-999,-999,Monday,July,23,2018
San Diego Police Department - Central Division,San Diego,CA,Local Police Department,32.706062,-117.13982,-999,-999,Tuesday,July,24,2018
California Highway Patrol - Sacramento Communications Center,Rancho Cordova,CA,Primary State Agency,38.587654,-121.261215,-999,-999,Tuesday,July,24,2018
Central Detention Center,San Bernardino,CA,Local Police Department,34.102264,-117.273346,-999,-999,Tuesday,July,17,2018
Placer County Sheriffs Department - Colfax Substation,Colfax,CA,Sheriff'S Office,39.099808,-120.953964,-999,-999,Tuesday,July,24,2018
California Highway Patrol - Barstow,Barstow,CA,Primary State Agency,34.892796,-117.02442,-999,-999,Wednesday,July,18,2018
California Highway Patrol - Victorville,Victorville,CA,Primary State Agency,34.509804,-117.3307,-999,-999,Tuesday,July,24,2018
Lowell Police Department - Back Central - East,Lowell,MA,Local Police Department,42.632336,-71.302216,-999,-999,Monday,September,10,2018
Massachusetts Port Authority Police - Boston Autoport,Boston,MA,Local Police Department,42.382877,-71.05546,-999,-999,Wednesday,June,6,2018
Regis College Campus Police,Weston,MA,Special Jurisdiction,42.351067,-71.309265,-999,-999,Wednesday,June,6,2018
Massachusetts Environmental Police - New Braintree,New Braintree,MA,Local Police Department,42.30886,-72.13487,-999,-999,Wednesday,June,6,2018
Bristol County Sheriffs Office / Bristol County Jail And House Of Correction,New Bedford,MA,Sheriff'S Office,41.633614,-70.935104,-999,-999,Wednesday,June,6,2018
Springfield College Department Of Public Safety,Springfield,MA,Special Jurisdiction,42.10225,-72.55671,-999,-999,Wednesday,June,6,2018
Boston Police Department District A-1,Boston,MA,Local Police Department,42.361916,-71.06036,-999,-999,Wednesday,June,6,2018
Massachusetts State Police - Concord Barracks,Concord,MA,Primary State Agency,42.466515,-71.39321,-999,-999,Wednesday,June,6,2018
Western New England College Department Of Public Safety,Springfield,MA,Special Jurisdiction,42.115353,-72.516335,-999,-999,Wednesday,June,6,2018
New Salem Town Police Department,New Salem,MA,Local Police Department,42.500343,-72.33138,-999,-999,Monday,September,10,2018
Boston College Police Department,Chestnut Hill,MA,Special Jurisdiction,42.336304,-71.16868,-999,-999,Wednesday,June,6,2018
Boston Police - Harbor Patrol,Boston,MA,Local Police Department,42.343754,-71.03706,-999,-999,Wednesday,June,6,2018
Hancock Police Department,Hancock,MA,Local Police Department,42.54805,-73.31104,-999,-999,Wednesday,June,6,2018
Harvard University Police,Cambridge,MA,Special Jurisdiction,42.370033,-71.11226,-999,-999,Wednesday,June,6,2018
Curry College Department Of Public Safety,Milton,MA,Special Jurisdiction,42.237938,-71.11637,-999,-999,Wednesday,June,6,2018
Gosnold Police Department,Gosnold,MA,Local Police Department,41.421314,-70.9297,-999,-999,Monday,September,10,2018
Amherst College Campus Police,Amherst,MA,Special Jurisdiction,42.37238,-72.51852,-999,-999,Wednesday,June,6,2018
Wendell Police Department,Wendell,MA,Local Police Department,42.547626,-72.3964,-999,-999,Wednesday,June,6,2018
Boston University Campus Police,Boston,MA,Special Jurisdiction,42.352543,-71.118645,-999,-999,Wednesday,June,6,2018
Worcester Police Department Front Street Substation,Worcester,MA,Local Police Department,42.263203,-71.80081,-999,-999,Wednesday,June,6,2018
Westfield Police Department - Westfield Community Police Unit - Union Street,Westfield,MA,Local Police Department,42.130962,-72.73067,-999,-999,Wednesday,June,6,2018
New Bedford Police Department Station 1,New Bedford,MA,Local Police Department,41.634705,-70.92668,-999,-999,Wednesday,June,6,2018
Hampshire College Department Of Public Safety,Amherst,MA,Special Jurisdiction,42.326653,-72.52529,-999,-999,Wednesday,June,6,2018
Massachusetts State Police - Millbury Barracks,Millbury,MA,Primary State Agency,42.208042,-71.78917,-999,-999,Wednesday,June,6,2018
Savoy Police Department,Savoy,MA,Local Police Department,42.56369,-73.02511,-999,-999,Wednesday,June,6,2018
Massachusetts State Police - Logan,Boston,MA,Primary State Agency,42.36745,-71.017555,-999,-999,Wednesday,June,6,2018
Massachusetts Port Authority Police - Conley Terminal,South Boston,MA,Local Police Department,42.338818,-71.02501,-999,-999,Wednesday,June,6,2018
Smith College Department Of Public Safety,Northampton,MA,Special Jurisdiction,42.313065,-72.639046,-999,-999,Wednesday,June,6,2018
Wellesley College Police Department,Wellesley,MA,Special Jurisdiction,42.2956,-71.309525,-999,-999,Wednesday,June,6,2018
Massachusetts Environmental Police - Inland Headquarters,Westborough,MA,Local Police Department,42.288067,-71.63245,-999,-999,Wednesday,June,6,2018
Middlesex County Sheriffs Office - Cambridge,Cambridge,MA,Sheriff'S Office,42.37132,-71.08054,-999,-999,Wednesday,June,6,2018
Massachusetts Environmental Police - Springfield Headquarters,Indian Orchard,MA,Local Police Department,42.14384,-72.51393,-999,-999,Wednesday,June,6,2018
Lowell Police Department - Housing,Lowell,MA,Local Police Department,42.6481,-71.31968,-999,-999,Wednesday,June,6,2018
Boston Police Department District E-5,West Roxbury,MA,Local Police Department,42.286816,-71.14838,-999,-999,Wednesday,June,6,2018
Massachusetts Port Authority Police - Hanscom Field,Bedford,MA,Local Police Department,42.463146,-71.291245,-999,-999,Wednesday,June,6,2018
Lowell National Historical Park Ranger Station,Lowell,MA,Local Police Department,42.647217,-71.3094,-999,-999,Wednesday,June,6,2018
Barnstable Police Department - Substation,Hyannis,MA,Local Police Department,41.65445,-70.28343,-999,-999,Wednesday,June,6,2018
Boston Police Department District B-2,Roxbury,MA,Local Police Department,42.327663,-71.08404,-999,-999,Wednesday,June,6,2018
Polk County Sheriffs Department,Des Moines,IA,Sheriff'S Office,41.585144,-93.62477,-999,-999,Tuesday,June,5,2018
Broward County Sheriffs Office - North Lauderdale,North Lauderdale,FL,Sheriff'S Office,26.222033,-80.221306,-999,-999,Monday,July,30,2018
Colorado Department Of Revenue - Division Of Gaming,Central City,CO,Primary State Agency,39.800766,-105.51108,-999,-999,Tuesday,July,24,2018
Eagle County Sheriffs Office - El Jebel Substation,El Jebel,CO,Sheriff'S Office,39.39245,-107.0908,-999,-999,Tuesday,July,24,2018
Montrose County Sheriffs Department- Nucla Communications Center - West End Substation,Nucla,CO,Sheriff'S Office,38.24134,-108.56304,-999,-999,Wednesday,July,25,2018
Arapahoe County Sheriff - Byers Substation,Byers,CO,Sheriff'S Office,39.717987,-104.21941,-999,-999,Tuesday,July,24,2018
Arapahoe County Sheriff - Littleton Substation,Littleton,CO,Sheriff'S Office,39.61265,-105.00797,-999,-999,Wednesday,July,25,2018
Cobb County Department Of Public Safety - Training Center,Marietta,GA,Primary State Agency,33.903572,-84.57663,-999,-999,Wednesday,August,8,2018
Cobb County Police Department - Precinct 3,Atlanta,GA,Local Police Department,33.849224,-84.484116,-999,-999,Wednesday,August,8,2018
