agency_name,city,state,agency_type,agency_latitude,agency_longitude,ft_sworn,agency_population,validated_week_name,record_month,validated_day,record_year
Rockmart Police Department,Rockmart,GA,Local Police Department,33.996944,-85.05229,18,20,Thursday,May,31,2018
Broxton Police Department,Broxton,GA,Local Police Department,31.624584,-82.88688,4,4,Thursday,May,31,2018
Ashburn Police Department,Ashburn,GA,Local Police Department,31.703785,-83.65191,15,19,Thursday,May,31,2018
Pavo Police Department,Pavo,GA,Local Police Department,30.959747,-83.74156,5,5,Thursday,May,31,2018
Eatonton Police Department,Eatonton,GA,Local Police Department,33.32594,-83.39095,16,23,Thursday,May,31,2018
Avondale Estates Police Department,Avondale Estates,GA,Local Police Department,33.77641,-84.26677,12,12,Thursday,May,31,2018
Pelham Police Department,Pelham,GA,Local Police Department,31.125084,-84.15426,14,32,Thursday,May,31,2018
Alamo Police Department,Alamo,GA,Local Police Department,32.147243,-82.77797,1,1,Thursday,May,31,2018
Midville Police Department,Midville,GA,Local Police Department,32.81867,-82.2355,1,1,Thursday,May,31,2018
Fairmount Police Department,Fairmount,GA,Local Police Department,34.43621,-84.70088,3,3,Thursday,May,31,2018
Lagrange Police Department,Lagrange,GA,Local Police Department,33.040974,-85.03026,83,101,Thursday,May,31,2018
Cobb County Board Of Education Police,Marietta,GA,Special Jurisdiction,33.915512,-84.54598,39,42,Friday,June,1,2018
Clayton State University Dept Of Public Safety,Morrow,GA,Special Jurisdiction,33.59448,-84.33078,13,13,Friday,June,1,2018
Elizabeth Police Department,Elizabeth,LA,Local Police Department,30.86847,-92.79414,1,1,Tuesday,February,12,2019
Vallejo Police Department,Vallejo,CA,Local Police Department,38.099934,-122.24364,116,143,Monday,July,23,2018
Essex Police Department,Essex,CT,Local Police Department,41.354088,-72.39572,4,4,Thursday,July,26,2018
Orange Police Department,Orange,CT,Local Police Department,41.26351,-73.0083,36,48,Thursday,July,26,2018
White Hall Police Department,Whitehall,AR,Local Police Department,34.273716,-92.09169,15,17,Thursday,May,10,2018
Pine Bluff Police Department,Pine Bluff,AR,Local Police Department,34.220493,-92.00082,140,167,Monday,May,14,2018
Rockport Police Department,Rockport,AR,Local Police Department,34.38634,-92.8257,5,6,Wednesday,May,16,2018
Drew County Sheriffs Office,Monticello,AR,Sheriff'S Office,33.62694,-91.791695,10,25,Friday,May,11,2018
Fulton County Sheriffs Office,Salem,AR,Sheriff'S Office,36.370102,-91.82328,7,14,Wednesday,May,16,2018
Paris Police Department,Paris,AR,Local Police Department,35.29154,-93.71363,9,15,Wednesday,May,16,2018
